Smiles,Name,Names,InChi
N[C@@H](c1cc(OC)c(c2c1OCCC2)Br)C(=O)O,3DW,3DW,"InChI=1S/C12H14BrNO4/c1-17-8-5-7(10(14)12(15)16)11-6(9(8)13)3-2-4-18-11/h5,10H,2-4,14H2,1H3,(H,15,16)/t10-/m0/s1"
N[C@@H]([C@@H]1SC(=NC1=O)Nc1cccc(O)c1)C(=O)O,6BC,6BC,"InChI=1S/C11H11N3O4S/c12-7(10(17)18)8-9(16)14-11(19-8)13-5-2-1-3-6(15)4-5/h1-4,7-8,15H,12H2,(H,17,18)(H,13,14,16)/t7-,8-/m0/s1"
N[C@@H](c1cncc2c(Cl)n[nH]c12)C(=O)O,JDX,JDX,"InChI=1S/C8H7ClN4O2/c9-7-4-2-11-1-3(5(10)8(14)15)6(4)12-13-7/h1-2,5H,10H2,(H,12,13)(H,14,15)/t5-/m0/s1"
N[C@@H](Cn1cc(c(C(=O)C)c1C)C)C(=O)O,K7C,K7C,"InChI=1S/C11H16N2O3/c1-6-4-13(5-9(12)11(15)16)7(2)10(6)8(3)14/h4,9H,5,12H2,1-3H3,(H,15,16)/t9-/m0/s1"
N[C@@H](c1cc2c(ccc(C)c2)n(c1=O)CC(C)C)C(=O)O,1OA,1OA,"InChI=1S/C16H20N2O3/c1-9(2)8-18-13-5-4-10(3)6-11(13)7-12(15(18)19)14(17)16(20)21/h4-7,9,14H,8,17H2,1-3H3,(H,20,21)/t14-/m0/s1"
N[C@@H](c1c(c2ccc(CC)cc2)c[nH]n1)C(=O)O,BLK,BLK,"InChI=1S/C13H15N3O2/c1-2-8-3-5-9(6-4-8)10-7-15-16-12(10)11(14)13(17)18/h3-7,11H,2,14H2,1H3,(H,15,16)(H,17,18)/t11-/m0/s1"
N[C@@H](CCn1nc(C(F)(F)F)c2c1CCCCC2)C(=O)O,VK5,VK5,"InChI=1S/C13H18F3N3O2/c14-13(15,16)11-8-4-2-1-3-5-10(8)19(18-11)7-6-9(17)12(20)21/h9H,1-7,17H2,(H,20,21)/t9-/m0/s1"
N[C@@H](CCOc1nc(C2CC2)cc(C(F)(F)F)n1)C(=O)O,CY4,CY4,"InChI=1S/C12H14F3N3O3/c13-12(14,15)9-5-8(6-1-2-6)17-11(18-9)21-4-3-7(16)10(19)20/h5-7H,1-4,16H2,(H,19,20)/t7-/m0/s1"
N[C@@H](c1ccc(OC(=O)c2n(C)ncc2)cc1)C(=O)O,01H,01H,"InChI=1S/C13H13N3O4/c1-16-10(6-7-15-16)13(19)20-9-4-2-8(3-5-9)11(14)12(17)18/h2-7,11H,14H2,1H3,(H,17,18)/t11-/m0/s1"
N[C@@H](Cn1nc(C(F)(F)F)c(Br)c1C1CC1)C(=O)O,7R4,7R4,"InChI=1S/C10H11BrF3N3O2/c11-6-7(4-1-2-4)17(3-5(15)9(18)19)16-8(6)10(12,13)14/h4-5H,1-3,15H2,(H,18,19)/t5-/m0/s1"
N[C@@H](CSCn1nc(C)c(c1C)Cl)C(=O)O,83E,83E,"InChI=1S/C9H14ClN3O2S/c1-5-8(10)6(2)13(12-5)4-16-3-7(11)9(14)15/h7H,3-4,11H2,1-2H3,(H,14,15)/t7-/m0/s1"
N[C@@H](CSCc1c(C)nn(C)c1)C(=O)O,BAP,BAP,"InChI=1S/C9H15N3O2S/c1-6-7(3-12(2)11-6)4-15-5-8(10)9(13)14/h3,8H,4-5,10H2,1-2H3,(H,13,14)/t8-/m0/s1"
N[C@@H](c1c(nc(N(C)C)oc1=O)c1ccccc1)C(=O)O,QXJ,QXJ,"InChI=1S/C14H15N3O4/c1-17(2)14-16-11(8-6-4-3-5-7-8)9(13(20)21-14)10(15)12(18)19/h3-7,10H,15H2,1-2H3,(H,18,19)/t10-/m0/s1"
N[C@@H](Cn1ccc(C(=O)N2CCCC2)n1)C(=O)O,SOT,SOT,"InChI=1S/C11H16N4O3/c12-8(11(17)18)7-15-6-3-9(13-15)10(16)14-4-1-2-5-14/h3,6,8H,1-2,4-5,7,12H2,(H,17,18)/t8-/m0/s1"
N[C@@H](c1c(N)c(C(=O)c2ccc(Br)cc2)ccc1)C(=O)O,RQ0,RQ0,"InChI=1S/C15H13BrN2O3/c16-9-6-4-8(5-7-9)14(19)11-3-1-2-10(12(11)17)13(18)15(20)21/h1-7,13H,17-18H2,(H,20,21)/t13-/m0/s1"
N[C@@H](c1n(c2nccc(OC)c2C#N)ccc1)C(=O)O,JUF,JUF,"InChI=1S/C13H12N4O3/c1-20-10-4-5-16-12(8(10)7-14)17-6-2-3-9(17)11(15)13(18)19/h2-6,11H,15H2,1H3,(H,18,19)/t11-/m0/s1"
N[C@@H](c1ccc(OCc2c(C#N)scc2)cc1)C(=O)O,WMD,WMD,"InChI=1S/C14H12N2O3S/c15-7-12-10(5-6-20-12)8-19-11-3-1-9(2-4-11)13(16)14(17)18/h1-6,13H,8,16H2,(H,17,18)/t13-/m0/s1"
N[C@@H](c1c(F)cccc1Oc1ccccc1)C(=O)O,TX4,TX4,"InChI=1S/C14H12FNO3/c15-10-7-4-8-11(12(10)13(16)14(17)18)19-9-5-2-1-3-6-9/h1-8,13H,16H2,(H,17,18)/t13-/m0/s1"
N[C@@H](CC(=O)c1ccc2O[C@H](C)C(=O)N(c2c1)C)C(=O)O,ZIC,ZIC,"InChI=1S/C14H16N2O5/c1-7-13(18)16(2)10-5-8(3-4-12(10)21-7)11(17)6-9(15)14(19)20/h3-5,7,9H,6,15H2,1-2H3,(H,19,20)/t7-,9+/m1/s1"
N[C@@H](Cc1cc2c(nn(C)c2s1)C(F)(F)F)C(=O)O,PLF,PLF,"InChI=1S/C10H10F3N3O2S/c1-16-8-5(7(15-16)10(11,12)13)2-4(19-8)3-6(14)9(17)18/h2,6H,3,14H2,1H3,(H,17,18)/t6-/m0/s1"
N[C@@H](c1ccc(C(=O)OC)n1c1ccc(F)cc1)C(=O)O,ELA,ELA,"InChI=1S/C14H13FN2O4/c1-21-14(20)11-7-6-10(12(16)13(18)19)17(11)9-4-2-8(15)3-5-9/h2-7,12H,16H2,1H3,(H,18,19)/t12-/m0/s1"
N[C@@H](c1n(C)cc(C(=O)c2ccccc2F)c1)C(=O)O,BD3,BD3,"InChI=1S/C14H13FN2O3/c1-17-7-8(6-11(17)12(16)14(19)20)13(18)9-4-2-3-5-10(9)15/h2-7,12H,16H2,1H3,(H,19,20)/t12-/m0/s1"
N[C@@H](c1sc(c(C#N)c1Cl)N)C(=O)O,HPL,HPL,"InChI=1S/C7H6ClN3O2S/c8-3-2(1-9)6(11)14-5(3)4(10)7(12)13/h4H,10-11H2,(H,12,13)/t4-/m0/s1"
N[C@@H](CC[C@@]12C[C@H]3C[C@@H](C1)C[C@](C(=O)O)(C3)C2)C(=O)O,J1H,J1H,"InChI=1S/C15H23NO4/c16-11(12(17)18)1-2-14-4-9-3-10(5-14)7-15(6-9,8-14)13(19)20/h9-11H,1-8,16H2,(H,17,18)(H,19,20)/t9-,10+,11-,14-,15-/m0/s1"
N[C@@H](C1=C(c2c(S[C@@H]1C)ccc(Cl)c2)Cl)C(=O)O,S8W,S8W,"InChI=1S/C12H11Cl2NO2S/c1-5-9(11(15)12(16)17)10(14)7-4-6(13)2-3-8(7)18-5/h2-5,11H,15H2,1H3,(H,16,17)/t5-,11+/m1/s1"
N[C@@H](c1cc(C)c2-c1c(C)ccc(C(C)C)c2)C(=O)O,T5V,T5V,"InChI=1S/C17H21NO2/c1-9(2)12-6-5-10(3)15-13(8-12)11(4)7-14(15)16(18)17(19)20/h5-9,16H,18H2,1-4H3,(H,19,20)/t16-/m0/s1"
N[C@@H](CC(=O)Nc1cccc2CCN(C(=O)C)c12)C(=O)O,K7Y,K7Y,"InChI=1S/C14H17N3O4/c1-8(18)17-6-5-9-3-2-4-11(13(9)17)16-12(19)7-10(15)14(20)21/h2-4,10H,5-7,15H2,1H3,(H,16,19)(H,20,21)/t10-/m0/s1"
