Smiles,Name,Names,InChi
N[C@@H](CCOc1cnc2cccc(Br)c2c1)C(=O)O,F8J,F8J,"InChI=1S/C13H13BrN2O3/c14-10-2-1-3-12-9(10)6-8(7-16-12)19-5-4-11(15)13(17)18/h1-3,6-7,11H,4-5,15H2,(H,17,18)/t11-/m0/s1"
N[C@@H](CCC(=O)NC1(c2ncon2)CCC1)C(=O)O,J4Q,J4Q,"InChI=1S/C11H16N4O4/c12-7(9(17)18)2-3-8(16)14-11(4-1-5-11)10-13-6-19-15-10/h6-7H,1-5,12H2,(H,14,16)(H,17,18)/t7-/m0/s1"
N[C@@H](Cc1ccc(C#CC(F)(F)F)cc1)C(=O)O,BIS,BIS,"InChI=1S/C12H10F3NO2/c13-12(14,15)6-5-8-1-3-9(4-2-8)7-10(16)11(17)18/h1-4,10H,7,16H2,(H,17,18)/t10-/m0/s1"
N[C@@H]([C@H]1CS[C@@H](C(F)(F)F)N1)C(=O)O,KU1,KU1,"InChI=1S/C6H9F3N2O2S/c7-6(8,9)5-11-2(1-14-5)3(10)4(12)13/h2-3,5,11H,1,10H2,(H,12,13)/t2-,3+,5+/m1/s1"
N[C@@H]([C@H](CC(C)C)N[C@@H]1CCS(=O)(=O)C1)C(=O)O,G1N,G1N,"InChI=1S/C11H22N2O4S/c1-7(2)5-9(10(12)11(14)15)13-8-3-4-18(16,17)6-8/h7-10,13H,3-6,12H2,1-2H3,(H,14,15)/t8-,9+,10+/m1/s1"
N[C@@H]([C@H]1N(C(=O)OC(C)(C)C)[C@H](C(F)(F)F)SC1)C(=O)O,C0K,C0K,"InChI=1S/C11H17F3N2O4S/c1-10(2,3)20-9(19)16-5(6(15)7(17)18)4-21-8(16)11(12,13)14/h5-6,8H,4,15H2,1-3H3,(H,17,18)/t5-,6-,8-/m0/s1"
N[C@@H](Cn1cc(c2ccc(N)cc2)nn1)C(=O)O,HQX,HQX,"InChI=1S/C11H13N5O2/c12-8-3-1-7(2-4-8)10-6-16(15-14-10)5-9(13)11(17)18/h1-4,6,9H,5,12-13H2,(H,17,18)/t9-/m0/s1"
N[C@@H](c1c(c2nnc(C(C)C)o2)cccc1)C(=O)O,IP1,IP1,"InChI=1S/C13H15N3O3/c1-7(2)11-15-16-12(19-11)9-6-4-3-5-8(9)10(14)13(17)18/h3-7,10H,14H2,1-2H3,(H,17,18)/t10-/m0/s1"
N[C@@H](c1c(c2ccc(C(=O)C)cc2)csc1)C(=O)O,I4G,I4G,"InChI=1S/C14H13NO3S/c1-8(16)9-2-4-10(5-3-9)11-6-19-7-12(11)13(15)14(17)18/h2-7,13H,15H2,1H3,(H,17,18)/t13-/m0/s1"
N[C@@H](c1ccc(c2nnc(C(F)F)o2)s1)C(=O)O,NFH,NFH,"InChI=1S/C9H7F2N3O3S/c10-6(11)8-14-13-7(17-8)4-2-1-3(18-4)5(12)9(15)16/h1-2,5-6H,12H2,(H,15,16)/t5-/m0/s1"
N[C@@H](c1ccc(c2c(C)cc(C(=O)O)o2)s1)C(=O)O,7ZA,7ZA,"InChI=1S/C12H11NO5S/c1-5-4-6(11(14)15)18-10(5)8-3-2-7(19-8)9(13)12(16)17/h2-4,9H,13H2,1H3,(H,14,15)(H,16,17)/t9-/m0/s1"
N[C@@H](c1cc(c2c(C)noc2C)sc1)C(=O)O,6W3,6W3,"InChI=1S/C11H12N2O3S/c1-5-9(6(2)16-13-5)8-3-7(4-17-8)10(12)11(14)15/h3-4,10H,12H2,1-2H3,(H,14,15)/t10-/m0/s1"
N[C@@H](c1ccc(c2c[nH]cn2)cc1F)C(=O)O,ADX,ADX,"InChI=1S/C11H10FN3O2/c12-8-3-6(9-4-14-5-15-9)1-2-7(8)10(13)11(16)17/h1-5,10H,13H2,(H,14,15)(H,16,17)/t10-/m0/s1"
N[C@@H](c1cc(c2ccc(C#N)cc2)sc1)C(=O)O,ERG,ERG,"InChI=1S/C13H10N2O2S/c14-6-8-1-3-9(4-2-8)11-5-10(7-18-11)12(15)13(16)17/h1-5,7,12H,15H2,(H,16,17)/t12-/m0/s1"
N[C@@H](c1ccc(c2nnc(C(C)(C)C)o2)o1)C(=O)O,BHG,BHG,"InChI=1S/C12H15N3O4/c1-12(2,3)11-15-14-9(19-11)7-5-4-6(18-7)8(13)10(16)17/h4-5,8H,13H2,1-3H3,(H,16,17)/t8-/m0/s1"
N[C@@H](c1ccc(c2c(C(=O)C)scc2)o1)C(=O)O,PUN,PUN,"InChI=1S/C12H11NO4S/c1-6(14)11-7(4-5-18-11)8-2-3-9(17-8)10(13)12(15)16/h2-5,10H,13H2,1H3,(H,15,16)/t10-/m0/s1"
N[C@@H](c1cncc(c2n(C)ncc2)c1)C(=O)O,SIV,SIV,"InChI=1S/C11H12N4O2/c1-15-9(2-3-14-15)7-4-8(6-13-5-7)10(12)11(16)17/h2-6,10H,12H2,1H3,(H,16,17)/t10-/m0/s1"
N[C@@H](c1scc(c2ccc(C(=O)C)o2)c1)C(=O)O,QRX,QRX,"InChI=1S/C12H11NO4S/c1-6(14)8-2-3-9(17-8)7-4-10(18-5-7)11(13)12(15)16/h2-5,11H,13H2,1H3,(H,15,16)/t11-/m0/s1"
N[C@@H](c1cc(c2c[nH]c(C(=O)O)c2)cs1)C(=O)O,J7Q,J7Q,"InChI=1S/C11H10N2O4S/c12-9(11(16)17)8-2-6(4-18-8)5-1-7(10(14)15)13-3-5/h1-4,9,13H,12H2,(H,14,15)(H,16,17)/t9-/m0/s1"
N[C@@H](c1cncc(c2nnc(C3CC3)o2)c1)C(=O)O,EQX,EQX,"InChI=1S/C12H12N4O3/c13-9(12(17)18)7-3-8(5-14-4-7)11-16-15-10(19-11)6-1-2-6/h3-6,9H,1-2,13H2,(H,17,18)/t9-/m0/s1"
N[C@@H](c1c(c2cc(OC)ns2)csc1)C(=O)O,KUN,KUN,"InChI=1S/C10H10N2O3S2/c1-15-8-2-7(17-12-8)5-3-16-4-6(5)9(11)10(13)14/h2-4,9H,11H2,1H3,(H,13,14)/t9-/m0/s1"
N[C@@H](c1csc(c2cscc2C(F)F)c1)C(=O)O,HIN,HIN,"InChI=1S/C11H9F2NO2S2/c12-10(13)7-4-17-3-6(7)8-1-5(2-18-8)9(14)11(15)16/h1-4,9-10H,14H2,(H,15,16)/t9-/m0/s1"
N[C@@H](c1cc(F)c2c(c1)NC(=O)CO2)C(=O)O,ELS,ELS,"InChI=1S/C10H9FN2O4/c11-5-1-4(8(12)10(15)16)2-6-9(5)17-3-7(14)13-6/h1-2,8H,3,12H2,(H,13,14)(H,15,16)/t8-/m0/s1"
N[C@@H](c1c(C)nn2ccsc12)C(=O)O,IO2,IO2,"InChI=1S/C8H9N3O2S/c1-4-5(6(9)8(12)13)7-11(10-4)2-3-14-7/h2-3,6H,9H2,1H3,(H,12,13)/t6-/m0/s1"
N[C@@H](c1cnc2nonc2n1)C(=O)O,ZN6,ZN6,"InChI=1S/C6H5N5O3/c7-3(6(12)13)2-1-8-4-5(9-2)11-14-10-4/h1,3H,7H2,(H,12,13)/t3-/m0/s1"
N[C@@H]([C@@H](C(=O)OC)N(C)C=O)C(=O)O,PFB,PFB,"InChI=1S/C7H12N2O5/c1-9(3-10)5(7(13)14-2)4(8)6(11)12/h3-5H,8H2,1-2H3,(H,11,12)/t4-,5-/m0/s1"
N[C@@H](CN(C)CC1(N2CCCCC2)CCCCC1)C(=O)O,PSX,PSX,"InChI=1S/C16H31N3O2/c1-18(12-14(17)15(20)21)13-16(8-4-2-5-9-16)19-10-6-3-7-11-19/h14H,2-13,17H2,1H3,(H,20,21)/t14-/m0/s1"
N[C@@H](c1ccc(CN2CCC[C@](C)(C#N)C2)cc1)C(=O)O,MOQ,MOQ,"InChI=1S/C16H21N3O2/c1-16(10-17)7-2-8-19(11-16)9-12-3-5-13(6-4-12)14(18)15(20)21/h3-6,14H,2,7-9,11,18H2,1H3,(H,20,21)/t14-,16+/m0/s1"
N[C@@H](CCCN1CCC[N@@](C(C)C)CC1)C(=O)O,G6U,G6U,"InChI=1S/C13H27N3O2/c1-11(2)16-8-4-7-15(9-10-16)6-3-5-12(14)13(17)18/h11-12H,3-10,14H2,1-2H3,(H,17,18)/t12-/m0/s1"
N[C@@H](Cc1cnc2ccc(C(F)(F)F)cn12)C(=O)O,417,417,"InChI=1S/C11H10F3N3O2/c12-11(13,14)6-1-2-9-16-4-7(17(9)5-6)3-8(15)10(18)19/h1-2,4-5,8H,3,15H2,(H,18,19)/t8-/m0/s1"
N[C@@H](c1cn(C(=O)OC(C)(C)C)c(c1)Br)C(=O)O,91T,91T,"InChI=1S/C11H15BrN2O4/c1-11(2,3)18-10(17)14-5-6(4-7(14)12)8(13)9(15)16/h4-5,8H,13H2,1-3H3,(H,15,16)/t8-/m0/s1"
N[C@@H]([C@@H]1COCCN1C(=O)CCn1cc(Cl)cn1)C(=O)O,EAP,EAP,"InChI=1S/C12H17ClN4O4/c13-8-5-15-16(6-8)2-1-10(18)17-3-4-21-7-9(17)11(14)12(19)20/h5-6,9,11H,1-4,7,14H2,(H,19,20)/t9-,11-/m0/s1"
N[C@@H](CN1C[C@H](CCC)[C@H](C1)N(C)C)C(=O)O,SJY,SJY,"InChI=1S/C12H25N3O2/c1-4-5-9-6-15(7-10(13)12(16)17)8-11(9)14(2)3/h9-11H,4-8,13H2,1-3H3,(H,16,17)/t9-,10-,11-/m0/s1"
N[C@@H](Cc1nn2CCCN(CC#CCC)Cc2c1)C(=O)O,RUB,RUB,"InChI=1S/C15H22N4O2/c1-2-3-4-6-18-7-5-8-19-13(11-18)9-12(17-19)10-14(16)15(20)21/h9,14H,2,5-8,10-11,16H2,1H3,(H,20,21)/t14-/m0/s1"
N[C@@H](C[C@@H]1CC[N@](C[C@H]2N(CC)CCC2)CC1)C(=O)O,M3O,M3O,"InChI=1S/C15H29N3O2/c1-2-18-7-3-4-13(18)11-17-8-5-12(6-9-17)10-14(16)15(19)20/h12-14H,2-11,16H2,1H3,(H,19,20)/t13-,14-/m0/s1"
N[C@@H](CC1CCN(c2nc(C(=O)O)co2)CC1)C(=O)O,2G6,2G6,"InChI=1S/C12H17N3O5/c13-8(10(16)17)5-7-1-3-15(4-2-7)12-14-9(6-20-12)11(18)19/h6-8H,1-5,13H2,(H,16,17)(H,18,19)/t8-/m0/s1"
N[C@@H](CN1CCN(C(=O)c2cncc(O)c2)CC1)C(=O)O,EX0,EX0,"InChI=1S/C13H18N4O4/c14-11(13(20)21)8-16-1-3-17(4-2-16)12(19)9-5-10(18)7-15-6-9/h5-7,11,18H,1-4,8,14H2,(H,20,21)/t11-/m0/s1"
N[C@@H](c1ccc(CSc2n(C)c(CN)nn2)cc1)C(=O)O,CIV,CIV,"InChI=1S/C13H17N5O2S/c1-18-10(6-14)16-17-13(18)21-7-8-2-4-9(5-3-8)11(15)12(19)20/h2-5,11H,6-7,14-15H2,1H3,(H,19,20)/t11-/m0/s1"
N[C@@H](C[C@@H]1CC[N@](C[C@H]2CC(C)(C)OCC2)CC1)C(=O)O,2OS,2OS,"InChI=1S/C16H30N2O3/c1-16(2)10-13(5-8-21-16)11-18-6-3-12(4-7-18)9-14(17)15(19)20/h12-14H,3-11,17H2,1-2H3,(H,19,20)/t13-,14+/m1/s1"
N[C@@H](c1cccc(c2c(C)n[nH]c2C)n1)C(=O)O,Y7L,Y7L,"InChI=1S/C12H14N4O2/c1-6-10(7(2)16-15-6)8-4-3-5-9(14-8)11(13)12(17)18/h3-5,11H,13H2,1-2H3,(H,15,16)(H,17,18)/t11-/m0/s1"
N[C@@H](CC(=O)N[C@H]1CC[N@](C(C)(C)C)C1)C(=O)O,MEF,MEF,"InChI=1S/C12H23N3O3/c1-12(2,3)15-5-4-8(7-15)14-10(16)6-9(13)11(17)18/h8-9H,4-7,13H2,1-3H3,(H,14,16)(H,17,18)/t8-,9-/m0/s1"
N[C@@H](Cc1c(C)nn(c2ccccc2)c1Cl)C(=O)O,PX5,PX5,"InChI=1S/C13H14ClN3O2/c1-8-10(7-11(15)13(18)19)12(14)17(16-8)9-5-3-2-4-6-9/h2-6,11H,7,15H2,1H3,(H,18,19)/t11-/m0/s1"
N[C@@H](CCNc1nc2[nH]cnc2c(=O)[nH]1)C(=O)O,H14,H14,"InChI=1S/C9H12N6O3/c10-4(8(17)18)1-2-11-9-14-6-5(7(16)15-9)12-3-13-6/h3-4H,1-2,10H2,(H,17,18)(H3,11,12,13,14,15,16)/t4-/m0/s1"
N[C@@H](CNc1cn2c(n1)CCC2)C(=O)O,0HA,0HA,"InChI=1S/C9H14N4O2/c10-6(9(14)15)4-11-7-5-13-3-1-2-8(13)12-7/h5-6,11H,1-4,10H2,(H,14,15)/t6-/m0/s1"
N[C@@H](c1ccc(/C(=N\O)/c2cccs2)s1)C(=O)O,CL3,CL3,"InChI=1S/C11H10N2O3S2/c12-9(11(14)15)6-3-4-8(18-6)10(13-16)7-2-1-5-17-7/h1-5,9,16H,12H2,(H,14,15)/b13-10-/t9-/m0/s1"
N[C@@H]([C@@H](CC)CCC[C@@H]1CCNC(=O)N1)C(=O)O,KNR,KNR,"InChI=1S/C12H23N3O3/c1-2-8(10(13)11(16)17)4-3-5-9-6-7-14-12(18)15-9/h8-10H,2-7,13H2,1H3,(H,16,17)(H2,14,15,18)/t8-,9+,10-/m0/s1"
N[C@@H](c1coc(NC(=O)CSc2ccccn2)n1)C(=O)O,3VX,3VX,"InChI=1S/C12H12N4O4S/c13-10(11(18)19)7-5-20-12(15-7)16-8(17)6-21-9-3-1-2-4-14-9/h1-5,10H,6,13H2,(H,18,19)(H,15,16,17)/t10-/m0/s1"
N[C@@H](c1coc(NC(=O)c2cccc(Cl)c2)n1)C(=O)O,V4R,V4R,"InChI=1S/C12H10ClN3O4/c13-7-3-1-2-6(4-7)10(17)16-12-15-8(5-20-12)9(14)11(18)19/h1-5,9H,14H2,(H,18,19)(H,15,16,17)/t9-/m0/s1"
N[C@@H]([C@@H](C)c1ccc2c(c1)n(C)c(=O)n2C)C(=O)O,SH9,SH9,"InChI=1S/C13H17N3O3/c1-7(11(14)12(17)18)8-4-5-9-10(6-8)16(3)13(19)15(9)2/h4-7,11H,14H2,1-3H3,(H,17,18)/t7-,11-/m0/s1"
N[C@@H](c1ccc(c(SC)c1F)Cl)C(=O)O,OG3,OG3,"InChI=1S/C9H9ClFNO2S/c1-15-8-5(10)3-2-4(6(8)11)7(12)9(13)14/h2-3,7H,12H2,1H3,(H,13,14)/t7-/m0/s1"
N[C@@H](c1coc2cc(OC)c(cc2c1=O)Cl)C(=O)O,DFB,DFB,"InChI=1S/C12H10ClNO5/c1-18-9-3-8-5(2-7(9)13)11(15)6(4-19-8)10(14)12(16)17/h2-4,10H,14H2,1H3,(H,16,17)/t10-/m0/s1"
N[C@@H](c1c(C(=O)OC)c(C2CC2)no1)C(=O)O,JL2,JL2,"InChI=1S/C10H12N2O5/c1-16-10(15)5-7(4-2-3-4)12-17-8(5)6(11)9(13)14/h4,6H,2-3,11H2,1H3,(H,13,14)/t6-/m0/s1"
N[C@@H](c1c(c2cc(C)[nH]c2cc1)F)C(=O)O,6B0,6B0,"InChI=1S/C11H11FN2O2/c1-5-4-7-8(14-5)3-2-6(9(7)12)10(13)11(15)16/h2-4,10,14H,13H2,1H3,(H,15,16)/t10-/m0/s1"
N[C@@H](c1cn(Cc2ccc(OC)cc2)nc1N)C(=O)O,IGY,IGY,"InChI=1S/C13H16N4O3/c1-20-9-4-2-8(3-5-9)6-17-7-10(12(15)16-17)11(14)13(18)19/h2-5,7,11H,6,14H2,1H3,(H2,15,16)(H,18,19)/t11-/m0/s1"
N[C@@H](C[C@H](O)C(F)F)C(=O)O,J6C,J6C,"InChI=1S/C5H9F2NO3/c6-4(7)3(9)1-2(8)5(10)11/h2-4,9H,1,8H2,(H,10,11)/t2-,3-/m0/s1"
N[C@@H](CCCc1scc2[nH]c(=O)[nH]c12)C(=O)O,VMJ,VMJ,"InChI=1S/C10H13N3O3S/c11-5(9(14)15)2-1-3-7-8-6(4-17-7)12-10(16)13-8/h4-5H,1-3,11H2,(H,14,15)(H2,12,13,16)/t5-/m0/s1"
N[C@@H](c1nn(C(F)F)cc1Br)C(=O)O,3Z9,3Z9,"InChI=1S/C6H6BrF2N3O2/c7-2-1-12(6(8)9)11-4(2)3(10)5(13)14/h1,3,6H,10H2,(H,13,14)/t3-/m0/s1"
N[C@@H]([C@H](n1ccc(c2ccccc2)n1)C(F)(F)F)C(=O)O,FPC,FPC,"InChI=1S/C13H12F3N3O2/c14-13(15,16)11(10(17)12(20)21)19-7-6-9(18-19)8-4-2-1-3-5-8/h1-7,10-11H,17H2,(H,20,21)/t10-,11-/m0/s1"
N[C@@H](Cc1c(c2ccccc2)oc2ccccc12)C(=O)O,8OS,8OS,"InChI=1S/C17H15NO3/c18-14(17(19)20)10-13-12-8-4-5-9-15(12)21-16(13)11-6-2-1-3-7-11/h1-9,14H,10,18H2,(H,19,20)/t14-/m0/s1"
N[C@@H](Cc1ccn2cccc2c1)C(=O)O,ZWJ,ZWJ,"InChI=1S/C11H12N2O2/c12-10(11(14)15)7-8-3-5-13-4-1-2-9(13)6-8/h1-6,10H,7,12H2,(H,14,15)/t10-/m0/s1"
N[C@@H](c1c(C)c(c(s1)Cl)Cl)C(=O)O,7PO,7PO,"InChI=1S/C7H7Cl2NO2S/c1-2-3(8)6(9)13-5(2)4(10)7(11)12/h4H,10H2,1H3,(H,11,12)/t4-/m0/s1"
N[C@@H](c1ccc(c2cnc(C(F)(F)F)s2)cc1)C(=O)O,ZQ8,ZQ8,"InChI=1S/C12H9F3N2O2S/c13-12(14,15)11-17-5-8(20-11)6-1-3-7(4-2-6)9(16)10(18)19/h1-5,9H,16H2,(H,18,19)/t9-/m0/s1"
N[C@@H](c1cccc2c(Cl)ccnc12)C(=O)O,W5O,W5O,"InChI=1S/C11H9ClN2O2/c12-8-4-5-14-10-6(8)2-1-3-7(10)9(13)11(15)16/h1-5,9H,13H2,(H,15,16)/t9-/m0/s1"
N[C@@H](c1cccc2c1C(=O)NCC2)C(=O)O,R51,R51,"InChI=1S/C11H12N2O3/c12-9(11(15)16)7-3-1-2-6-4-5-13-10(14)8(6)7/h1-3,9H,4-5,12H2,(H,13,14)(H,15,16)/t9-/m0/s1"
N[C@@H](c1c(N(C)C)nc2c(Br)cccc2c1)C(=O)O,LI3,LI3,"InChI=1S/C13H14BrN3O2/c1-17(2)12-8(10(15)13(18)19)6-7-4-3-5-9(14)11(7)16-12/h3-6,10H,15H2,1-2H3,(H,18,19)/t10-/m0/s1"
N[C@@H](c1cc2c(F)cccc2[nH]c1=O)C(=O)O,DK1,DK1,"InChI=1S/C11H9FN2O3/c12-7-2-1-3-8-5(7)4-6(10(15)14-8)9(13)11(16)17/h1-4,9H,13H2,(H,14,15)(H,16,17)/t9-/m0/s1"
N[C@@H](c1c2ccn(C)c2cc(c1)Br)C(=O)O,N0A,N0A,"InChI=1S/C11H11BrN2O2/c1-14-3-2-7-8(10(13)11(15)16)4-6(12)5-9(7)14/h2-5,10H,13H2,1H3,(H,15,16)/t10-/m0/s1"
N[C@@H](c1cnc2ccc(C(F)(F)F)cc2c1)C(=O)O,V61,V61,"InChI=1S/C12H9F3N2O2/c13-12(14,15)8-1-2-9-6(4-8)3-7(5-17-9)10(16)11(18)19/h1-5,10H,16H2,(H,18,19)/t10-/m0/s1"
N[C@@H](c1c(OC2(C#C)CCCCC2)cccc1)C(=O)O,Z3N,Z3N,"InChI=1S/C16H19NO3/c1-2-16(10-6-3-7-11-16)20-13-9-5-4-8-12(13)14(17)15(18)19/h1,4-5,8-9,14H,3,6-7,10-11,17H2,(H,18,19)/t14-/m0/s1"
N[C@@H](c1cccc(O[C@H](C#C)CC(C)C)c1)C(=O)O,J02,J02,"InChI=1S/C15H19NO3/c1-4-12(8-10(2)3)19-13-7-5-6-11(9-13)14(16)15(17)18/h1,5-7,9-10,12,14H,8,16H2,2-3H3,(H,17,18)/t12-,14+/m1/s1"
N[C@@H](Cc1cccc(OCC)c1OC1COC1)C(=O)O,4VP,4VP,"InChI=1S/C14H19NO5/c1-2-19-12-5-3-4-9(6-11(15)14(16)17)13(12)20-10-7-18-8-10/h3-5,10-11H,2,6-8,15H2,1H3,(H,16,17)/t11-/m0/s1"
N[C@@H]([C@@H](NC(=O)C1CC1)[C@@H]1CCCCN1)C(=O)O,8L0,8L0,"InChI=1S/C12H21N3O3/c13-9(12(17)18)10(8-3-1-2-6-14-8)15-11(16)7-4-5-7/h7-10,14H,1-6,13H2,(H,15,16)(H,17,18)/t8-,9-,10-/m0/s1"
N[C@@H](c1c(OCC2(C)CCC2)ccnc1)C(=O)O,Q47,Q47,"InChI=1S/C13H18N2O3/c1-13(4-2-5-13)8-18-10-3-6-15-7-9(10)11(14)12(16)17/h3,6-7,11H,2,4-5,8,14H2,1H3,(H,16,17)/t11-/m0/s1"
N[C@@H](c1conc1c1ccc(F)c(C(F)(F)F)c1)C(=O)O,VNT,VNT,"InChI=1S/C12H8F4N2O3/c13-8-2-1-5(3-7(8)12(14,15)16)10-6(4-21-18-10)9(17)11(19)20/h1-4,9H,17H2,(H,19,20)/t9-/m0/s1"
N[C@@H](c1c(c2c(cc(OC)c(c2)OC)Br)noc1)C(=O)O,21B,21B,"InChI=1S/C13H13BrN2O5/c1-19-9-3-6(8(14)4-10(9)20-2)12-7(5-21-16-12)11(15)13(17)18/h3-5,11H,15H2,1-2H3,(H,17,18)/t11-/m0/s1"
N[C@@H](c1conc1c1cccc(Cl)c1F)C(=O)O,ROA,ROA,"InChI=1S/C11H8ClFN2O3/c12-7-3-1-2-5(8(7)13)10-6(4-18-15-10)9(14)11(16)17/h1-4,9H,14H2,(H,16,17)/t9-/m0/s1"
N[C@@H]([C@H](c1ccc(OC)cc1OC)NC(=N)N)C(=O)O,CHF,CHF,"InChI=1S/C12H18N4O4/c1-19-6-3-4-7(8(5-6)20-2)10(16-12(14)15)9(13)11(17)18/h3-5,9-10H,13H2,1-2H3,(H,17,18)(H4,14,15,16)/t9-,10-/m0/s1"
N[C@@H]([C@@H](NC(=N)N)c1ccc(C(F)(F)F)c(F)c1)C(=O)O,0ZP,0ZP,"InChI=1S/C11H12F4N4O2/c12-6-3-4(1-2-5(6)11(13,14)15)8(19-10(17)18)7(16)9(20)21/h1-3,7-8H,16H2,(H,20,21)(H4,17,18,19)/t7-,8-/m0/s1"
N[C@@H](C1(c2nnn[nH]2)CCC1)C(=O)O,AJC,AJC,"InChI=1S/C7H11N5O2/c8-4(5(13)14)7(2-1-3-7)6-9-11-12-10-6/h4H,1-3,8H2,(H,13,14)(H,9,10,11,12)/t4-/m1/s1"
N[C@@H](c1noc(C)c1c1nnn[nH]1)C(=O)O,LMD,LMD,"InChI=1S/C7H8N6O3/c1-2-3(6-9-12-13-10-6)5(11-16-2)4(8)7(14)15/h4H,8H2,1H3,(H,14,15)(H,9,10,12,13)/t4-/m0/s1"
N[C@@H](C(=O)N1C(C)(C)CN(C(=O)C2CC2)CC1)C(=O)O,B25,B25,"InChI=1S/C13H21N3O4/c1-13(2)7-15(10(17)8-3-4-8)5-6-16(13)11(18)9(14)12(19)20/h8-9H,3-7,14H2,1-2H3,(H,19,20)/t9-/m0/s1"
N[C@@H](CS(=O)(=O)NCc1sc2ccc(C)cc2n1)C(=O)O,O9M,O9M,"InChI=1S/C12H15N3O4S2/c1-7-2-3-10-9(4-7)15-11(20-10)5-14-21(18,19)6-8(13)12(16)17/h2-4,8,14H,5-6,13H2,1H3,(H,16,17)/t8-/m0/s1"
N[C@@H](c1c(C(=O)NC(C)(C)c2nccs2)cco1)C(=O)O,T8F,T8F,"InChI=1S/C13H15N3O4S/c1-13(2,12-15-4-6-21-12)16-10(17)7-3-5-20-9(7)8(14)11(18)19/h3-6,8H,14H2,1-2H3,(H,16,17)(H,18,19)/t8-/m0/s1"
N[C@@H](c1occc1C(=O)N1CC[C@]2(CCOC2)C1)C(=O)O,CN6,CN6,"InChI=1S/C14H18N2O5/c15-10(13(18)19)11-9(1-5-21-11)12(17)16-4-2-14(7-16)3-6-20-8-14/h1,5,10H,2-4,6-8,15H2,(H,18,19)/t10-,14-/m0/s1"
N[C@@H](CNC(=O)[C@@H]1CCCc2c(O)cccc12)C(=O)O,0GL,0GL,"InChI=1S/C14H18N2O4/c15-11(14(19)20)7-16-13(18)10-5-1-4-9-8(10)3-2-6-12(9)17/h2-3,6,10-11,17H,1,4-5,7,15H2,(H,16,18)(H,19,20)/t10-,11+/m1/s1"
N[C@@H](c1cc(C(=O)N(CC#C)C2CSC2)c([nH]1)C)C(=O)O,E25,E25,"InChI=1S/C14H17N3O3S/c1-3-4-17(9-6-21-7-9)13(18)10-5-11(16-8(10)2)12(15)14(19)20/h1,5,9,12,16H,4,6-7,15H2,2H3,(H,19,20)/t12-/m0/s1"
N[C@@H](c1cncc(SC)c1C)C(=O)O,O57,O57,"InChI=1S/C9H12N2O2S/c1-5-6(8(10)9(12)13)3-11-4-7(5)14-2/h3-4,8H,10H2,1-2H3,(H,12,13)/t8-/m0/s1"
N[C@@H](C[C@H]1N(C(C)C)S(=O)(=O)CC1)C(=O)O,8CA,8CA,"InChI=1S/C9H18N2O4S/c1-6(2)11-7(3-4-16(11,14)15)5-8(10)9(12)13/h6-8H,3-5,10H2,1-2H3,(H,12,13)/t7-,8-/m0/s1"
N[C@@H](Cc1cn(CC[C@H]2COC(C)(C)O2)nc1)C(=O)O,5D9,5D9,"InChI=1S/C13H21N3O4/c1-13(2)19-8-10(20-13)3-4-16-7-9(6-15-16)5-11(14)12(17)18/h6-7,10-11H,3-5,8,14H2,1-2H3,(H,17,18)/t10-,11-/m0/s1"
N[C@@H](CC(=O)N1CCC(OC2COC2)CC1)C(=O)O,LVQ,LVQ,"InChI=1S/C12H20N2O5/c13-10(12(16)17)5-11(15)14-3-1-8(2-4-14)19-9-6-18-7-9/h8-10H,1-7,13H2,(H,16,17)/t10-/m0/s1"
N[C@@H](c1c(OC)ccc([C@@H]2CCNC[C@H]2N)c1)C(=O)O,GJ9,GJ9,"InChI=1S/C14H21N3O3/c1-20-12-3-2-8(6-10(12)13(16)14(18)19)9-4-5-17-7-11(9)15/h2-3,6,9,11,13,17H,4-5,7,15-16H2,1H3,(H,18,19)/t9-,11+,13-/m0/s1"
N[C@@H]([C@H]1[C@H](c2n(C)ncc2)C1)C(=O)O,KVU,KVU,"InChI=1S/C9H13N3O2/c1-12-7(2-3-11-12)5-4-6(5)8(10)9(13)14/h2-3,5-6,8H,4,10H2,1H3,(H,13,14)/t5-,6-,8+/m1/s1"
N[C@@H](c1cnn(C(CCC)CCC)c1N)C(=O)O,P4A,P4A,"InChI=1S/C12H22N4O2/c1-3-5-8(6-4-2)16-11(14)9(7-15-16)10(13)12(17)18/h7-8,10H,3-6,13-14H2,1-2H3,(H,17,18)/t10-/m0/s1"
N[C@@H](c1cnn([C@@H]2CC[C@H](C(C)C)CC2)c1N)C(=O)O,BNH,BNH,"InChI=1S/C14H24N4O2/c1-8(2)9-3-5-10(6-4-9)18-13(16)11(7-17-18)12(15)14(19)20/h7-10,12H,3-6,15-16H2,1-2H3,(H,19,20)/t9-,10+,12-/m0/s1"
N[C@@H](c1ccc(C(=O)OC)nn1)C(=O)O,W61,W61,"InChI=1S/C8H9N3O4/c1-15-8(14)5-3-2-4(10-11-5)6(9)7(12)13/h2-3,6H,9H2,1H3,(H,12,13)/t6-/m0/s1"
N[C@@H](c1conc1C1CC1)C(=O)O,FY7,FY7,"InChI=1S/C8H10N2O3/c9-6(8(11)12)5-3-13-10-7(5)4-1-2-4/h3-4,6H,1-2,9H2,(H,11,12)/t6-/m0/s1"
